year,month,day,exercise,set 1 reps,set 1 weight,set 2 reps,set 2 weight,set 3 reps,set 3 weight,set 4 reps,set 4 weight
2022,3,22,Sissy squats,12.0,0.0,12,0.0,12.0,0.0,0,0.0
2022,3,25, band Triceps extensions,13.0,0.0,9,0.0,9.0,0.0,0,0.0
2022,3,25,Axelpress,7.0,20.0,6,20.75,4.0,20.75,4,20.75
2022,3,25,decline press,12.0,0.0,10,0.0,8.0,0.0,0,0.0
2022,3,25,lat pulldown,8.0,65.0,8,60.0,10.0,55.0,0,0.0
2022,3,25,ring Rows,12.0,0.0,11,0.0,10.0,0.0,0,0.0
2022,3,25,Weighted Pull ups,4.0,13.75,5,11.25,4.0,8.75,4,7.5
2022,3,27,beltsquat,6.0,45.0,10,45.0,7.0,45.0,7,45.0
2022,3,27,Rdls,12.0,95.0,12,90.0,12.0,90.0,0,0.0
2022,3,27,reverse nordics,16.0,0.0,14,0.0,13.0,0.0,0,0.0
2022,3,27,single leg machine curls,11.0,5.0,11,5.0,9.0,5.0,0,0.0
2022,3,29,Barbell curls,9.0,45.0,7,45.0,6.0,45.0,0,0.0
2022,3,29,decline push ups,10.0,0.0,7,0.0,6.0,0.0,6,0.0
2022,3,29,inverted delt row,13.0,0.0,12,0.0,12.0,0.0,0,0.0
2022,3,29,Ring push ups,5.0,7.5,5,6.25,5.0,5.0,4,3.75
2022,3,29,side lateral,24.0,0.0,22,0.0,22.0,0.0,0,0.0
2022,3,29,straight arm pulldown,3.0,25.0,12,20.0,10.0,20.0,0,0.0
2022,3,31,ATG split squat,6.0,31.5,6,31.5,6.0,31.5,0,0.0
2022,3,31,leg curls,9.0,5.0,8,5.0,8.0,5.0,0,0.0
2022,3,31,Regular DL,6.0,105.0,6,105.0,5.0,105.0,6,105.0
2022,4,2, band Triceps extensions,10.0,0.0,8,0.0,8.0,0.0,0,0.0
2022,4,2,Axelpress,8.0,20.0,5,20.75,5.0,20.75,4,20.75
2022,4,2,decline press,11.0,0.0,9,0.0,9.0,0.0,0,0.0
2022,4,2,lat pulldown,9.0,65.0,7,65.0,8.0,60.0,0,0.0
2022,4,2,ring Rows,12.0,0.0,11,0.0,10.0,0.0,0,0.0
2022,4,2,Weighted Pull ups,5.0,13.75,5,11.25,5.0,8.75,5,7.5
2022,4,4,back squat,6.0,60.0,7,60.0,6.0,60.0,7,60.0
2022,4,4,Rdls,14.0,90.0,13,90.0,13.0,90.0,0,0.0
2022,4,4,reverse nordics,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2022,4,4,single leg machine curls,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2022,4,7,Barbell benchpress,3.0,70.0,5,65.0,4.0,65.0,4,60.0
2022,4,7,Barbell curls,8.0,45.0,7,42.5,6.0,42.5,0,0.0
2022,4,7,decline push ups,11.0,0.0,7,0.0,7.0,0.0,6,0.0
2022,4,7,inverted delt row,11.0,0.0,11,0.0,11.0,0.0,0,0.0
2022,4,7,side lateral,23.0,0.0,20,0.0,20.0,0.0,0,0.0
2022,4,7,straight arm pulldown,16.0,20.0,14,20.0,13.0,20.0,0,0.0
2022,4,9,ATG split squat,8.0,31.5,7,31.5,7.0,31.5,0,0.0
2022,4,9,Regular DL,5.0,110.0,6,105.0,6.0,105.0,5,105.0
2022,4,10, band Triceps extensions,11.0,0.0,9,0.0,8.0,0.0,0,0.0
2022,4,10,decline push ups,10.0,0.0,10,0.0,9.0,0.0,0,0.0
2022,4,10,lat pulldown,9.0,65.0,8,65.0,9.0,60.0,0,0.0
2022,4,10,Militärpress,5.0,40.0,5,40.0,5.0,40.0,5,40.0
2022,4,10,ring Rows,10.0,4.0,11,3.0,11.0,0.0,0,0.0
2022,4,10,Weighted Pull ups,6.0,13.75,5,11.25,5.0,8.75,5,7.5
2022,4,14,back squat,5.0,80.0,5,80.0,5.0,80.0,5,80.0
2022,4,14,Rdls,12.0,100.0,12,100.0,11.0,100.0,0,0.0
2022,4,14,reverse nordics,16.0,0.0,16,0.0,15.0,0.0,0,0.0
2022,4,14,single leg machine curls,12.0,0.0,15,0.0,15.0,0.0,0,0.0
2022,4,16,Barbell benchpress,4.0,70.0,5,65.0,6.0,60.0,6,60.0
2022,4,16,Barbell curls,7.0,45.0,8,40.0,7.0,40.0,0,0.0
2022,4,16,inverted delt row,16.0,0.0,12,0.0,13.0,0.0,0,0.0
2022,4,16,Ring push ups,7.0,0.0,5,0.0,4.0,0.0,5,0.0
2022,4,16,side lateral,24.0,0.0,24,0.0,24.0,0.0,0,0.0
2022,4,16,straight arm pulldown,18.0,20.0,14,20.0,13.0,20.0,0,0.0
2022,4,18,ATG split squat,6.0,34.0,6,34.0,6.0,34.0,0,0.0
2022,4,18,Regular DL,5.0,115.0,5,115.0,5.0,115.0,4,115.0
2022,4,18,Sissy squats,17.0,0.0,16,0.0,10.0,10.0,0,0.0
2022,4,22, band Triceps extensions,10.0,0.0,9,0.0,9.0,0.0,0,0.0
2022,4,22,band crossover,18.0,0.0,16,0.0,15.0,0.0,0,0.0
2022,4,22,Bench press,5.0,65.0,4,65.0,5.0,60.0,5,60.0
2022,4,22,lat pulldown,9.0,65.0,8,65.0,7.0,65.0,0,0.0
2022,4,22,ring Rows,12.0,0.0,11,0.0,9.0,0.0,0,0.0
2022,4,22,Weighted Pull ups,5.0,10.0,5,10.0,5.0,5.0,5,5.0
2022,4,24,back squat,5.0,85.0,5,80.0,6.0,75.0,8,70.0
2022,4,24,Rdls,12.0,100.0,11,100.0,11.0,100.0,0,0.0
2022,4,24,reverse nordics,13.0,10.0,12,10.0,12.0,10.0,0,0.0
2022,4,24,single leg machine curls,11.0,5.0,11,5.0,10.0,5.0,0,0.0
2022,4,26,Dips,10.0,0.0,7,0.0,6.0,0.0,0,0.0
2022,4,26,Ring rows,15.0,0.0,12,0.0,8.0,0.0,0,0.0
2022,4,26,Tricep extensions,10.0,0.0,10,0.0,10.0,0.0,0,0.0
2022,4,26,side lateral,15.0,5.0,15,5.0,15.0,5.0,0,0.0
2022,4,26,Bench press (pause),4.0,65.0,5,60.0,7.0,55.0,6,55.0
2022,4,26,Lat pulldown,10.0,65.0,9,65.0,8.0,65.0,0,0.0
2022,4,28,BW ATG split squats,18.0,0.0,16,0.0,16.0,0.0,0,0.0
2022,4,28,Hamstring curls,11.0,5.0,11,5.0,10.0,5.0,0,0.0
2022,4,28,Squat (Pin),9.0,70.0,10,70.0,10.0,70.0,0,0.0
2022,4,28,Sumo DL,5.0,115.0,6,115.0,5.0,115.0,0,0.0
