effektivitet,djup,ISO8601,kvalitet,sover,vaken
"94,9",02:41:48,2022-07-20 00:00:00,04:39:08,05:53:00,00:19:00
"100,0",03:46:17,2022-07-21 00:00:00,06:33:34,08:48:00,00:00:00
"97,7",02:32:25,2022-07-22 00:00:00,06:12:46,08:23:00,00:12:00
"95,5",04:03:12,2022-07-23 00:00:00,07:25:43,08:52:00,00:25:00
"100,0",02:33:20,2022-07-24 00:00:00,05:34:02,07:40:00,00:00:00
"95,6",03:36:46,2022-07-25 00:00:00,06:10:21,08:00:00,00:22:00
"89,4",01:02:22,2022-07-26 00:00:00,04:55:57,07:01:00,00:50:00
"100,0",03:30:47,2022-07-27 00:00:00,06:55:48,09:02:00,00:00:00
"90,2",03:03:12,2022-07-28 00:00:00,05:38:05,07:38:00,00:50:00
"88,4",01:59:23,2022-07-29 00:00:00,04:12:56,06:28:00,00:51:00
"81,6",01:16:04,2022-07-30 00:00:00,04:55:01,07:06:00,01:36:00
"95,8",02:40:44,2022-07-31 00:00:00,06:01:53,07:14:00,00:19:00
"94,7",01:15:00,2022-08-01 00:00:00,04:45:58,07:45:00,00:26:00
"97,0",03:35:52,2022-08-02 00:00:00,06:09:27,07:58:00,00:15:00
"94,2",03:08:17,2022-08-03 00:00:00,06:09:05,07:35:00,00:28:00
"100,0",02:34:40,2022-08-04 00:00:00,05:55:16,07:44:00,00:00:00
"94,5",02:32:09,2022-08-05 00:00:00,05:08:39,07:06:00,00:25:00
"96,3",02:36:00,2022-08-06 00:00:00,07:00:12,09:06:00,00:21:00
"100,0",02:49:20,2022-08-07 00:00:00,06:06:58,08:28:00,00:00:00
"100,0",03:03:06,2022-08-08 00:00:00,05:55:46,07:53:00,00:00:00
"90,4",03:23:14,2022-08-09 00:00:00,06:08:54,07:49:00,00:50:00
"89,8",02:16:08,2022-08-10 00:00:00,05:07:48,08:04:00,00:55:00
"95,6",03:07:02,2022-08-11 00:00:00,05:32:27,07:32:00,00:21:00
"98,5",03:37:13,2022-08-12 00:00:00,06:35:35,08:32:00,00:08:00
"94,9",04:18:05,2022-08-13 00:00:00,07:06:36,08:21:00,00:27:00
"86,2",04:44:38,2022-08-14 00:00:00,06:42:23,08:26:00,01:21:00
"82,2",01:30:00,2022-08-15 00:00:00,03:25:49,05:15:00,01:08:00
"95,0",03:15:56,2022-08-16 00:00:00,05:10:05,07:02:00,00:22:00
"82,9",02:43:49,2022-08-17 00:00:00,05:12:45,06:57:00,01:26:00
"87,8",03:23:31,2022-08-18 00:00:00,05:56:34,07:34:00,01:03:00
"95,1",03:18:15,2022-08-19 00:00:00,05:24:29,07:07:00,00:22:00
"100,0",03:40:50,2022-08-20 00:00:00,06:17:06,08:09:00,00:00:00
"83,7",03:30:49,2022-08-21 00:00:00,06:36:08,08:32:00,01:40:00
"95,2",02:17:39,2022-08-22 00:00:00,05:44:58,08:40:00,00:26:00
