exercise,set #,reps,weight,bodyweight,date
hamstring curls,2,15.0,0.0,79.535,2022-04-14
hamstring curls,3,15.0,0.0,79.535,2022-04-14
bench press,1,4.0,70.0,79.705,2022-04-16
bench press,2,5.0,65.0,79.705,2022-04-16
bench press,3,6.0,60.0,79.705,2022-04-16
bench press,4,6.0,60.0,79.705,2022-04-16
barbell curls,1,7.0,45.0,79.705,2022-04-16
barbell curls,2,8.0,40.0,79.705,2022-04-16
barbell curls,3,7.0,40.0,79.705,2022-04-16
inverted delt rows,1,16.0,0.0,79.705,2022-04-16
inverted delt rows,2,12.0,0.0,79.705,2022-04-16
inverted delt rows,3,13.0,0.0,79.705,2022-04-16
ring push ups,1,7.0,0.0,79.705,2022-04-16
ring push ups,2,5.0,0.0,79.705,2022-04-16
ring push ups,3,4.0,0.0,79.705,2022-04-16
ring push ups,4,5.0,0.0,79.705,2022-04-16
side lateral,1,24.0,0.0,79.705,2022-04-16
side lateral,2,24.0,0.0,79.705,2022-04-16
side lateral,3,24.0,0.0,79.705,2022-04-16
straight arm pulldown,1,18.0,20.0,79.705,2022-04-16
straight arm pulldown,2,14.0,20.0,79.705,2022-04-16
straight arm pulldown,3,13.0,20.0,79.705,2022-04-16
atg split squats,1,6.0,34.0,80.215,2022-04-18
atg split squats,2,6.0,34.0,80.215,2022-04-18
atg split squats,3,6.0,34.0,80.215,2022-04-18
deadlifts,1,5.0,115.0,80.215,2022-04-18
deadlifts,2,5.0,115.0,80.215,2022-04-18
deadlifts,3,5.0,115.0,80.215,2022-04-18
deadlifts,4,4.0,115.0,80.215,2022-04-18
sissy squats,1,17.0,0.0,80.215,2022-04-18
sissy squats,2,16.0,0.0,80.215,2022-04-18
sissy squats,3,10.0,10.0,80.215,2022-04-18
bench press,1,5.0,65.0,79.03,2022-04-22
bench press,2,4.0,65.0,79.03,2022-04-22
bench press,3,5.0,60.0,79.03,2022-04-22
bench press,4,5.0,60.0,79.03,2022-04-22
lat pulldown,1,9.0,65.0,79.03,2022-04-22
lat pulldown,2,8.0,65.0,79.03,2022-04-22
lat pulldown,3,7.0,65.0,79.03,2022-04-22
inverted rows,1,12.0,0.0,79.03,2022-04-22
inverted rows,2,11.0,0.0,79.03,2022-04-22
inverted rows,3,9.0,0.0,79.03,2022-04-22
pull ups,1,5.0,10.0,79.03,2022-04-22
pull ups,2,5.0,10.0,79.03,2022-04-22
pull ups,3,5.0,5.0,79.03,2022-04-22
pull ups,4,5.0,5.0,79.03,2022-04-22
squats,1,5.0,85.0,80.45,2022-04-24
squats,2,5.0,80.0,80.45,2022-04-24
squats,3,6.0,75.0,80.45,2022-04-24
squats,4,8.0,70.0,80.45,2022-04-24
romanian deadlifts,1,12.0,100.0,80.45,2022-04-24
romanian deadlifts,2,11.0,100.0,80.45,2022-04-24
romanian deadlifts,3,11.0,100.0,80.45,2022-04-24
reverse nordics,1,13.0,10.0,80.45,2022-04-24
reverse nordics,2,12.0,10.0,80.45,2022-04-24
reverse nordics,3,12.0,10.0,80.45,2022-04-24
hamstring curls,1,11.0,5.0,80.45,2022-04-24
hamstring curls,2,11.0,5.0,80.45,2022-04-24
hamstring curls,3,10.0,5.0,80.45,2022-04-24
bench press (pause),1,4.0,65.0,79.9,2022-04-26
bench press (pause),2,5.0,60.0,79.9,2022-04-26
bench press (pause),3,7.0,55.0,79.9,2022-04-26
bench press (pause),4,6.0,55.0,79.9,2022-04-26
dips,1,10.0,0.0,79.9,2022-04-26
dips,2,7.0,0.0,79.9,2022-04-26
dips,3,6.0,0.0,79.9,2022-04-26
lat pulldown,1,10.0,65.0,79.9,2022-04-26
lat pulldown,2,9.0,65.0,79.9,2022-04-26
lat pulldown,3,8.0,65.0,79.9,2022-04-26
inverted rows,1,15.0,0.0,79.9,2022-04-26
inverted rows,2,12.0,0.0,79.9,2022-04-26
inverted rows,3,8.0,0.0,79.9,2022-04-26
side lateral,1,15.0,5.0,79.9,2022-04-26
side lateral,2,15.0,5.0,79.9,2022-04-26
side lateral,3,15.0,5.0,79.9,2022-04-26
tricep extensions,1,10.0,0.0,79.9,2022-04-26
tricep extensions,2,10.0,0.0,79.9,2022-04-26
tricep extensions,3,10.0,0.0,79.9,2022-04-26
atg split squats,1,18.0,0.0,80.32,2022-04-28
atg split squats,2,16.0,0.0,80.32,2022-04-28
atg split squats,3,16.0,0.0,80.32,2022-04-28
hamstring curls,1,11.0,5.0,80.32,2022-04-28
hamstring curls,2,11.0,5.0,80.32,2022-04-28
hamstring curls,3,10.0,5.0,80.32,2022-04-28
squat (pin),1,9.0,70.0,80.32,2022-04-28
squat (pin),2,10.0,70.0,80.32,2022-04-28
squat (pin),3,10.0,70.0,80.32,2022-04-28
sumo dl,1,5.0,115.0,80.32,2022-04-28
sumo dl,2,6.0,115.0,80.32,2022-04-28
sumo dl,3,5.0,115.0,80.32,2022-04-28
barbell curls,1,8.0,40.0,79.69,2022-04-30
barbell curls,2,8.0,40.0,79.69,2022-04-30
barbell curls,3,7.0,40.0,79.69,2022-04-30
bench press,1,4.0,70.0,79.69,2022-04-30
bench press,2,5.0,65.0,79.69,2022-04-30
bench press,3,6.0,60.0,79.69,2022-04-30
bench press,4,6.0,60.0,79.69,2022-04-30
inverted delt rows,1,13.0,0.0,79.69,2022-04-30
inverted delt rows,2,11.0,0.0,79.69,2022-04-30
inverted delt rows,3,11.0,0.0,79.69,2022-04-30
overhead press,1,6.0,40.0,79.69,2022-04-30
overhead press,2,7.0,35.0,79.69,2022-04-30
overhead press,3,7.0,35.0,79.69,2022-04-30
straight arm pulldown,1,18.0,20.0,79.69,2022-04-30
straight arm pulldown,2,16.0,20.0,79.69,2022-04-30
straight arm pulldown,3,14.0,20.0,79.69,2022-04-30
pull ups,1,6.0,10.0,79.69,2022-04-30
pull ups,2,5.0,10.0,79.69,2022-04-30
pull ups,3,6.0,5.0,79.69,2022-04-30
squats,1,6.0,85.0,79.88,2022-05-02
squats,2,5.0,85.0,79.88,2022-05-02
squats,3,6.0,80.0,79.88,2022-05-02
squats,4,5.0,80.0,79.88,2022-05-02
hamstring curls,1,10.0,5.0,79.88,2022-05-02
hamstring curls,2,7.0,5.0,79.88,2022-05-02
hamstring curls,3,8.0,5.0,79.88,2022-05-02
